summary_nr,rel_insp_nr,age,sex,nature_of_inj,part_of_body,src_of_injury,event_type,evn_factor,hum_factor,occ_code,degree_of_inj,task_assigned,hazsub,const_op,const_op_cause,fat_cause,fall_distance,fall_ht,injury_line_nr,load_dt
221210503,344401880,0,,12,4,8,5,13,5,37,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210545,344401609,0,,3,4,29,1,18,14,7028,1,2,,34,,25,,,1,2020-07-27 00:19:05 EDT
221210594,344402540,0,,3,28,43,1,8,11,,2,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210651,344403167,0,,21,19,8,1,6,1,587,1,2,,25,,3,,,1,2020-07-27 00:19:05 EDT
221210719,344403522,0,,21,13,43,5,18,1,889,1,2,,9,,20,,,1,2020-07-27 00:19:05 EDT
221210735,344403597,0,,3,13,25,5,18,1,595,1,2,,70,,14,,,1,2020-07-27 00:19:05 EDT
221210768,344403852,0,,21,31,43,14,18,14,65,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210909,344282652,0,,12,13,26,1,6,13,0,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210933,344033295,0,,21,31,43,12,18,14,23,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210941,344405493,0,,12,13,43,5,18,14,,1,2,,43,,30,,,1,2020-07-27 00:19:05 EDT
221210966,344405741,0,,21,4,29,6,18,14,534,1,2,,,,,,,1,2020-07-27 00:19:05 EDT
221210990,344437504,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344437363,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344437033,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344433826,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344423058,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344420450,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344422308,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344422621,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344420328,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344412614,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344403746,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
221210990,344402508,0,,21,4,8,1,6,4,588,1,2,,12,,3,,,1,2020-06-27 03:55:48 EDT
